ean,desc,marca,rubro,cat,slot,cad,prov,suc,precio,Popular,Media,Ejecutiva,Tecnológica,Representativa,Femenina
7622202247316,Caramelos Mentolyptus Halls 25.2 Gr,Halls,Frescos,Golosinas,Caramelos/chicles,5,23,2038,935.0,2.0,1.0,1.0,0.0,1.0,0.0
7790742141101,Crema de Leche Uat Tetra Top La Serenísima 330 Ml,La Serenísima,Frescos,Lácteos,Crema de leche,5,24,2443,5179.0,0.0,1.0,1.0,0.0,1.0,0.0
7790787153664,Dulce de Leche Clásico Ilolay 400 Gr,Ilolay,Frescos,Lácteos,Dulce de leche,5,24,2204,3840.0,1.0,0.0,0.0,0.0,0.0,0.0
7790742625304,Dulce de Leche Clásico La Serenísima 400 Gr,La Serenísima,Frescos,Lácteos,Dulce de leche,5,24,2488,3860.0,0.0,1.0,0.0,0.0,1.0,0.0
7790742067005,Dulce de Leche Repostero La Serenísima 400 Gr,La Serenísima,Frescos,Lácteos,Dulce de leche,5,24,2466,4300.0,0.0,0.0,2.0,0.0,0.0,0.0
7790742335500,Leche Entera 3% Uat La Serenísima 1 Lt,La Serenísima,Frescos,Lácteos,Leche entera,5,24,2236,2997.33349609375,0.0,24.0,24.0,0.0,28.0,0.0
7798338290028,Leche Entera Larga Vida Tradición Tres Niñas 1 Lt,Tres Niñas,Frescos,Lácteos,Leche entera,5,24,2324,2620.0,24.0,0.0,0.0,0.0,0.0,0.0
7791337007819,Leche Fermentada Parcialmente Descremada con Probióticos Multifruta Actimel 100 Gr,Actimel,Frescos,Lácteos,Yogur bebible,5,24,2478,2085.0,0.0,0.0,6.0,0.0,0.0,0.0
7791337007260,Leche Larga Vida Chocolatada Brick Cindor 200 Cc,Cindor,Frescos,Lácteos,Leche chocolatada,5,24,2733,2799.0,0.0,2.0,2.0,0.0,2.0,0.0
7790742333605,Leche UAT Parcialmente Descremada Zero Lactos Serenísima 1 Lt,La Serenísima,Frescos,Lácteos,Leche descremada,5,24,2472,2999.0,0.0,6.0,10.0,0.0,6.0,0.0
7790742436207,Leche en Polvo Descremada Fortificada La Serenísima 200 Gr,La Serenísima,Frescos,Lácteos,Leche en polvo,5,24,2190,3815.0,1.0,0.0,0.0,0.0,0.5,0.0
7798060850026,Manteca Calidad Extra Tonadita 200 Gr,Tonadita,Frescos,Lácteos,Manteca,5,24,2478,4180.0,1.0,0.0,0.0,0.0,0.0,0.0
7793940054006,Manteca La Serenísima 200 Gr,La Serenísima,Frescos,Lácteos,Manteca,5,24,2483,4836.90625,0.0,2.0,2.0,0.0,2.0,0.0
7791620187778,Margarina Dorada Dánica 210 Gr,Dánica,Frescos,Lácteos,Margarina,5,24,2471,2819.0,1.0,0.0,0.0,0.0,0.5,0.0
