necesidad,canasta,ean,desc,marca,rubro,categoria,subcategoria,unidad_fisica,qty_fisica,presentacion,cantidad,precio_unitario,precio_envase,cadenas,provincias,sucursales,cba,confiable
Atun / conserva de pescado,Representativa,7790580131364,Atún al Natural Libre de Gluten sin TACC La Campagnola 170 Gr,La Campagnola,Almacén,Conservas,Conservas de Pescado,kg,0.3,0.17,2.0,34746.5,5906.9,5,24,2448,,True
Leche,Popular,7790742192103,Leche Descremada Sachet 1Casanto 1 Lt,Casanto,Frescos,Lácteos,Leches,kg,22.0,1.0,22.0,1865.0,1865.0,5,24,2238,Leche,True
Leche,Media,7790742363008,Leche Larga Vida Entera Clásica 3% La Serenisima 1 Lt,La Serenisima,Frescos,Lácteos,Leches,kg,27.0,1.0,27.0,2802.3,2802.3,5,24,2454,Leche,True
Leche,Ejecutiva,7790742358608,Leche Descremada Protein Larga Vida Uat La Serenisima 1 Lt,La Serenísima,Frescos,Lácteos,Leches,kg,31.0,1.0,31.0,3010.2,3010.2,5,24,2455,Leche,True
Leche,Representativa,7790742333605,Leche UAT Parcialmente Descremada Zero Lactos Serenísima 1 Lt,La Serenísima,Frescos,Lácteos,Leches,kg,28.644299999999998,1.0,29.0,2999.0,2999.0,5,24,2472,Leche,True
Yogur,Popular,7793913013535,Yogur Parcialmente Descremado Vainilla Tregar 125 Gr,Tregar,Frescos,Lácteos,Yogures,kg,1.0,0.125,8.0,9200.0,1150.0,5,24,2432,Yogur,True
Yogur,Media,7791337007246,Yogur Firme Descremado con Colágeno Vainilla Pote Ser 190 Gr,Ser,Frescos,Lácteos,Yogures,kg,2.5,0.19,13.0,15000.0,2850.0,5,24,2456,Yogur,True
Yogur,Ejecutiva,7791337008564,Yogur Batido Parcialmente Descremado Vainilla con Calcio Ser 120 Gr,Ser,Frescos,Lácteos,Yogures,kg,4.0,0.12,33.0,20908.3,2509.0,5,24,2424,Yogur,True
Yogur,Representativa,7791337008694,Yogur Bebible Frutilla Danonino 185 Gr,Danonino,Frescos,Lácteos,Yogures,kg,1.7612999999999999,0.185,10.0,17594.6,3255.0,5,24,2428,Yogur,True
Manteca / margarina,Popular,7791620187778,Margarina Dorada Dánica 210 Gr,Dánica,Frescos,Lácteos,Mantecas y Margarinas,kg,0.15,0.21,0.5,13423.8,2819.0,5,24,2471,Manteca,True
Manteca / margarina,Media,7790398100088,Manteca Calidad Extra La Paulina 200 Gr,La Paulina,Frescos,Lácteos,Mantecas y Margarinas,kg,0.25,0.2,1.0,22595.0,4519.0,5,24,2437,Manteca,True
Manteca / margarina,Ejecutiva,7794820903292,Manteca Calidad Extra Milkaut 100 Gr,Milkaut,Frescos,Lácteos,Mantecas y Margarinas,kg,0.4,0.1,4.0,26350.0,2635.0,5,24,1449,Manteca,True
Manteca / margarina,Representativa,7793940054006,Manteca La Serenísima 200 Gr,La Serenísima,Frescos,Lácteos,Mantecas y Margarinas,kg,0.18539999999999998,0.2,1.0,24184.5,4836.9,5,24,2483,Manteca,True
Queso untable,Popular,7791337061439,Queso Untable Light La Serenisima 290 Gr,La Serenisima,Frescos,Fiambrería,Quesos Untables,kg,0.3,0.29,1.0,14258.6,4135.0,5,24,2325,Queso,True
Queso untable,Media,7794990878925,Queso Untable Fundido con Jamón La Paulina 190 Gr,La Paulina,Frescos,Fiambrería,Quesos Untables,kg,0.45,0.19,2.5,15820.6,3005.9,5,24,1757,Queso,True
Queso untable,Ejecutiva,7791564012488,Queso Untable Jamón Adler 100 Gr,Adler,Frescos,Fiambrería,Quesos Untables,kg,0.6,0.1,6.0,32055.0,3205.5,5,24,1647,Queso,True
